Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
05-02-2021,Stove Kraft,412.63,8.02,32.72,26.04,385,498,445.95,15.83,950.7,146.94
03-02-2021,Home First,1153.72,52.53,39,6.59,518,612.15,527.4,1.81,850,64.09
02-02-2021,Indigo Paints,1170.56,96.21,115.76,6.5,1490,2607.5,3118.65,109.31,"2,190.75",47.03
29-01-2021,IRFC,4633,0.89,0.52,1.59,26,25,24.85,-4.42,23.35,-10.19
01-01-2021,Antony Waste,300.53,0.64,0.28,7.22,315,430,407.25,29.29,285.65,-9.32
24-12-2020,Bectors Food,540.54,176.85,620.86,29.33,288,501,595.55,106.79,390.15,35.47
14-12-2020,Burger King,796.5,86.64,354.11,68.15,60,115.35,138.4,130.67,149.65,149.42
20-11-2020,Gland,6479.55,6.4,0.51,0.24,1500,1710,1820.45,21.36,"3,600.95",140.06
02-11-2020,Equitas Bank,517.6,3.91,0.22,2.08,33,31,32.75,-0.76,61.35,85.91
12-10-2020,Mazagon Dock,443.69,89.71,678.88,35.63,145,216.25,173,19.31,266.1,83.52
12-10-2020,UTI AMC,2159.88,3.34,0.93,2.32,554,476.2,476.6,-13.97,"1,033.20",86.5
05-10-2020,Angel One,600,5.74,0.69,4.31,306,275,275.85,-9.85,"1,131.10",269.64
01-10-2020,Chemcon Special,318,113.54,449.14,41.21,340,731,584.8,72,365.65,7.54
01-10-2020,CAMS,2244.33,73.18,111.85,5.55,1230,1535,1401.6,13.95,"2,945.90",139.5
21-09-2020,Route,600,89.76,192.81,12.67,350,708,651.1,86.03,"1,767.95",405.13
17-09-2020,Happiest Minds ,702.02,77.43,351.46,70.94,166,351,371,123.49,"1,342.40",708.67
23-07-2020,Rossari,496.25,2.75,4.34,2.51,425,670,742.35,74.67,"1,302.00",206.35
16-03-2020,SBI Card,10286.2,57.18,45.23,2.5,755,658,683.2,-9.51,986.65,30.68
30-12-2019,Prince Pipes,500,3.54,1.21,1.89,178,160,166.6,-6.4,742.15,316.94
12-12-2019,Ujjivan Small,750,110.72,473,49.09,37,58.75,55.9,51.08,19.4,-47.57
04-12-2019,CSB Bank,409.68,38.85,45.49,9.01,195,275,300.1,53.9,267,36.92
14-10-2019,IRCTC,635.04,108.79,354.52,14.94,320,644,145.72,-54.46,811,153.44
20-08-2019,Sterling & Wils,3125,1.02,0.89,0.3,780,700,725.35,-7.01,396.15,-49.21
04-07-2019,Indiamart Inter,474.12,30.83,62.13,14.07,973,1180,1302.55,33.87,"7,098.30",629.53
08-05-2019,Neogen,131.48,30.49,113.88,16.06,0,251,263.55,0,"1,707.85",
15-04-2019,Metropolis,1200.18,8.88,3.03,2.21,880,960,959.55,9.04,"3,350.45",280.73
11-04-2019,Rail Vikas,430.88,1.36,0.8,2.92,19,19,19.05,0.26,34.8,83.16
01-04-2019,Embassy Office,4750,2.15,3.09,0.31,300,300,314.1,4.7,361.6,20.53
29-01-2018,Newgen Software,424.62,15.62,5.52,5.18,245,256,253,3.27,570.05,132.67
22-01-2018,Apollo Micro Sy,156,101.93,958.07,40.19,275,478,454.1,65.13,111.1,-59.6
29-12-2017,Astron Paper & ,70,103.35,396.99,77.93,50,120.75,119.7,139.4,49.75,-0.5
18-12-2017,Future Supply,649.69,12.36,11.15,3.28,664,674,685.8,3.28,70.1,-89.44
15-12-2017,Shalby ,504.8,4.34,0.42,2.98,248,237,239.25,-3.53,138.9,-43.99
17-11-2017,HDFC Life,8695.01,16.6,2.29,0.9,290,313,344.25,18.71,688.85,137.53
14-11-2017,Khadim India,493.06,2.45,0.18,2.34,750,727,688.5,-8.2,253.45,-66.21
10-11-2017,Mahindra Logist,829.36,15.61,2.07,6.11,429,425,429.15,0.03,701.9,63.61
06-11-2017,Nippon,1542,118.41,209.44,5.23,252,289,284,12.7,364.45,44.62
25-10-2017,General Insuran,11372,2.25,0.22,0.63,912,870.4,435.2,-52.28,141.05,-84.53
23-10-2017,IEX,1000.7,2.56,0.85,2.61,1650,1500,54.22,-96.71,256.05,-84.48
16-10-2017,Godrej Agrovet,1157.31,150.96,236.04,7.67,460,615,595.55,29.47,529.9,15.2
05-10-2017,Prataap Snacks ,481.94,76.89,101.15,7.62,938,1250,1178.3,25.62,786.5,-16.15
03-10-2017,SBI Life Insura,8400,12.56,0.7,0.81,700,735,708,1.14,"1,158.30",65.47
27-09-2017,ICICI Lombard ,5700.94,8.93,0.83,1.23,661,651,681.55,3.11,"1,444.25",118.49
25-09-2017,Capacite Infra,400,131.32,638.05,17.57,250,360,342.4,36.96,165.25,-33.9
21-09-2017,Matrimony.com,501.07,1.88,0.41,18.16,985,985,901.2,-8.51,917.4,-6.86
18-09-2017,Bharat Road Net,600.65,1.33,1.63,5.16,205,205,208.15,1.54,27.45,-86.61
18-09-2017,Dixon Technolog,599.28,134.66,345.62,9.46,1766,2725,578.56,-67.24,"5,187.00",193.71
04-09-2017,Apex Frozen,152.25,1.91,7.82,8.53,175,202,209.85,19.91,301,72
11-08-2017,Cochin Shipyard,1454,63.51,288.87,8.12,432,461,522,20.83,344.1,-20.35
10-08-2017,SIS,362.25,5.64,1.65,18.67,815,875,378.35,-53.58,489.1,-39.99
25-07-2017,Salasar Techno ,35.87,0,487.18,58.59,108,259.45,272.1,151.94,243.1,125.09
10-07-2017,AU Small Financ,1912.51,78.77,143.51,3.52,358,544,541.2,51.17,"1,135.00",217.04
04-07-2017,GTPL Hathway,484.8,1.48,2.48,0.99,170,170,171.65,0.97,269,58.24
30-06-2017,CDSL,523.99,148.71,563.03,23.83,149,250,261.6,75.57,"1,534.00",929.53
29-06-2017,Eris Life,1741.1,4.68,0.45,3.51,603,612,601.05,-0.32,735.65,22
27-06-2017,Tejas Networks,326.69,2.16,0.48,3.1,257,257.7,263.3,2.45,446.15,73.6
06-06-2017,IndiGrid InvIT ,2250,1.14,1.6,0,100,99.7,95.08,-4.92,145,45
29-05-2017,PSP Projects,211.68,8.38,10.39,6.47,210,195,208.95,-0.5,477,127.14
19-05-2017,HUDCO,1224,55.45,330.36,10.79,58,76.5,72.5,25,40.2,-30.69
09-05-2017,S Chand and Co,325,44.27,204.65,6.07,670,675.85,675.85,0.87,115,-82.84
05-04-2017,Shankara Buildi,232.96,51.62,90.68,15.35,460,545,632.8,37.57,509.85,10.84
31-03-2017,CL Educate,238.95,3.65,0.21,1.63,500,398,208.95,-58.21,121.05,-75.79
21-03-2017,Avenue Supermar,1870,144.61,277.74,7.3,299,604,640.75,114.3,"4,721.30",1479.03
17-03-2017,Music Broadcast,488.53,39.78,109.13,9.85,333,413,59.7,-82.07,23.15,-93.05
03-02-2017,BSE Limited,1243,48.64,159.03,6.48,806,1085,1069.2,32.66,"1,925.80",138.93
19-12-2016,Laurus Labs,560.7,10.54,3.57,1.58,428,489.9,96.1,-77.55,505.8,18.18
09-12-2016,Sheela Foam,178.5,14.51,3.35,0.44,730,860,1032,41.37,"3,299.75",352.02
08-11-2016,Varun Beverages,1114,4.94,0.42,0.82,445,430,205.29,-53.87,893.85,100.87
07-11-2016,PNB Housing Fin,3000,37.33,86.17,1.32,775,860,890.6,14.92,558.6,-27.92
19-10-2016,Endurance Techn,1161,1.7,0.13,0.82,472,572,647.7,37.22,"1,737.25",268.06
04-10-2016,HPL Electric & ,361,5.77,22.2,3.31,202,190,189.05,-6.41,61.5,-69.55
29-09-2016,ICICI Prudentia,6057,11.83,28.55,1.42,334,329,297.65,-10.88,600.05,79.66
